category,precision,recall,f1-score,support
10,0.31,0.46,0.37,935
40,0.61,0.59,0.60,752
50,0.71,0.68,0.70,504
60,0.84,0.81,0.82,250
1140,0.70,0.63,0.66,801
1160,0.88,0.86,0.87,1186
1180,0.66,0.48,0.56,229
1280,0.64,0.58,0.61,1461
1281,0.46,0.41,0.43,621
1300,0.93,0.89,0.91,1514
1301,0.95,0.83,0.89,242
1302,0.79,0.70,0.74,747
1320,0.68,0.60,0.64,972
1560,0.73,0.73,0.73,1522
1920,0.86,0.86,0.86,1291
1940,0.71,0.56,0.62,241
2060,0.70,0.69,0.69,1498
2220,0.71,0.60,0.65,247
2280,0.75,0.69,0.72,1428
2403,0.70,0.63,0.66,1432
2462,0.75,0.64,0.69,426
2522,0.79,0.79,0.79,1497
2582,0.66,0.60,0.63,777
2583,0.90,0.93,0.92,3063
2585,0.65,0.56,0.60,749
2705,0.32,0.66,0.43,828
2905,0.98,0.99,0.99,262
